11976	ord_57a9868a490fb	50.56	1470727818	\N	committed	OnlineShop\\Framework\\CartManager\\SessionCart_sesscart_57a986602ab22	\N	EUR	\N	\N	Teststraße	4040	AT	test@test.at	\N	Teststraße	4040	Teststadt	AT	Teststadt	44.66	Tester	Testerstester	Testerstester	Tester	\N	\N	\N
11980	ord_57a98a13f3931	70.87	1470728723	\N	committed	OnlineShop\\Framework\\CartManager\\SessionCart_sesscart_57a987303184a	\N	EUR	\N	\N	Teststraße	4040	AT	test@test.at	\N	Teststraße	4040	Teststadt	AT	Teststadt	64.97	Tester	Testerstester	Testerstester	Tester	\N	\N	\N
11982	ord_57a9984406d46	12.79	1470732356	\N	committed	OnlineShop\\Framework\\CartManager\\SessionCart_sesscart_57a9983507490	\N	EUR	\N	\N	Teststraße	4040	AT	test@test.at	\N	Teststraße	4040	Teststadt	AT	Teststadt	12.79	Tester	Testerstester	Testerstester	Tester	\N	\N	\N
11986	ord_57a99aea7899d	70.87	1470733034	\N	committed	OnlineShop\\Framework\\CartManager\\SessionCart_sesscart_57a999fc14edb	\N	EUR	\N	\N	Teststraße	4040	AT	test@test.at	\N	Teststraße	4040	Teststadt	AT	Teststadt	64.97	Tester	Testerstester	Testerstester	Tester	\N	\N	\N
11988	ord_57a99c148e156	49.38	1470733332	\N	committed	OnlineShop\\Framework\\CartManager\\SessionCart_sesscart_57a99bc35aa72	\N	EUR	\N	\N	Teststraße	4040	AT	test@test.at	\N	Teststraße	4040	Teststadt	AT	Teststadt	43.48	Tester	Testerstester	Testerstester	Tester	\N	\N	\N
11992	ord_57a99d836c837	70.87	1470733699	\N	committed	OnlineShop\\Framework\\CartManager\\SessionCart_sesscart_57a99ced0a632	\N	EUR	\N	\N	Teststraße	4040	AT	test@test.at	\N	Teststraße	4040	Teststadt	AT	Teststadt	64.97	Tester	Testerstester	Testerstester	Tester	\N	\N	\N
11994	ord_57a9a3025e32d	49.38	1470735106	\N	committed	OnlineShop\\Framework\\CartManager\\SessionCart_sesscart_57a9a2d8501ea	\N	EUR	\N	\N	Teststraße	4040	AT	test@test.at	\N	Teststraße	4040	Teststadt	AT	Teststadt	43.48	Tester	Testerstester	Testerstester	Tester	\N	\N	\N
12001	ord_57aae198d93e7	37.91	1470816665	\N	aborted	OnlineShop\\Framework\\CartManager\\SessionCart_sesscart_57aae18dd2189	\N	EUR	\N	\N	Teststraße	4040	AT	test@test.at	\N	Teststraße	4040	Teststadt	AT	Teststadt	32.01	Tester	Testerstester	Testerstester	Tester	\N	\N	\N
12004	ord_57bd6a89ab9ef	55.85	1472031370	\N	committed	OnlineShop\\Framework\\CartManager\\SessionCart_sesscart_57bd6a133c809	\N	EUR	\N	\N	Söllheimerstraße, 16	5020	AT	peter.hugo@pimcore.com	\N	Söllheimerstraße, 16	5020	Salzburg	AT	Salzburg	49.95	Peter	Hugo	Hugo	Peter	\N	\N	\N
12006	ord_57bd6b17b4b41	105.85	1472031511	\N	committed	OnlineShop\\Framework\\CartManager\\SessionCart_sesscart_57bd6af9a0895	\N	EUR	\N	\N	Söllheimerstraße, 16	5020	AT	peter.hugo@pimcore.com	\N	Söllheimerstraße, 16	5020	Salzburg	AT	Salzburg	99.95	Peter	Hugo	Hugo	Peter	\N	\N	\N
12008	ord_57bd6b91ad66b	45.77	1472031633	\N	committed	OnlineShop\\Framework\\CartManager\\SessionCart_sesscart_57bd6b71652bd	\N	EUR	\N	\N	Söllheimerstraße, 16	5020	AT	peter.hugo@pimcore.com	\N	Söllheimerstraße, 16	5020	Salzburg	AT	Salzburg	39.87	Peter	Hugo	Hugo	Peter	\N	\N	\N
12010	ord_57bd6e612235e	99.17	1472032353	\N	aborted	OnlineShop\\Framework\\CartManager\\SessionCart_sesscart_57bd6c0d84905	\N	EUR	\N	\N	Söllheimerstraße, 16	5020	AT	peter.hugo@pimcore.com	\N	Söllheimerstraße, 16	5020	Salzburg	AT	Salzburg	99.17	Peter	Hugo	Hugo	Peter	\N	\N	\N
12014	ord_57ee8a6fd1c53	55.85	1475250800	\N	committed	OnlineShop\\Framework\\CartManager\\SessionCart_sesscart_57ee8a4299559	\N	EUR	\N	\N	Söllheimerstraße	5020	AT	peter.hugo@pimcore.com	\N	Söllheimerstraße	5020	Salzburg	AT	Salzburg	49.95	Peter	Hugo	Hugo	Peter	\N	\N	a:0:{}
12018	ord_5800d7841856c	50.56	1476450180	\N	committed	OnlineShop\\Framework\\CartManager\\SessionCart_sesscart_5800d776a40fa	\N	EUR	\N	\N	Teststraße 123	5020	AT	christian.fasching@elements.at	\N	Teststraße 123	5020	Salzburg	AT	Salzburg	44.66	Christian	Fasching	Fasching	Christian	\N	\N	\N
12067	ord_5817276b1f156	45.77	1477912427	\N	committed	OnlineShop\\Framework\\CartManager\\SessionCart_sesscart_5817276601254	\N	EUR	\N	\N	Reininghausstraße 13a	8020	AT	christian.fasching@elements.at	\N	Reininghausstraße 13a	8020	Graz	AT	Graz	39.87	\N	Thomas Muster	Thomas Muster	\N	\N	\N	\N
12069	ord_5817295bc5232	86.24	1477912923	\N	committed	OnlineShop\\Framework\\CartManager\\SessionCart_sesscart_58172933547ca	\N	EUR	\N	\N	Söllheimerstraße, 16	5020	AT	peter.hugo@pimcore.com	\N	Söllheimerstraße, 16	5020	Salzburg	AT	Salzburg	80.34	Peter	Hugo	Hugo	Peter	\N	\N	\N
12071	ord_58172e236a60c	39.6	1477914147	\N	committed	OnlineShop\\Framework\\CartManager\\SessionCart_sesscart_5817299a3b191	\N	EUR	\N	\N	Söllheimerstraße, 16	5020	AT	peter.hugo@pimcore.com	\N	Söllheimerstraße, 16	5020	Salzburg	AT	Salzburg	33.7	Peter	Hugo	Hugo	Peter	\N	\N	\N
12073	ord_58173181844b1	45.77	1477915009	\N	committed	OnlineShop\\Framework\\CartManager\\SessionCart_sesscart_5817314a7c4b3	\N	EUR	\N	\N	Söllheimerstraße, 16	5020	AT	peter.hugo@pimcore.com	\N	Söllheimerstraße, 16	5020	Salzburg	AT	Salzburg	39.87	Peter	Hugo	Hugo	Peter	\N	\N	\N
12075	ord_581731fc82cb4	98.86	1477915132	\N	committed	OnlineShop\\Framework\\CartManager\\SessionCart_sesscart_581731ca2a8c2	\N	EUR	\N	\N	Söllheimerstraße, 16	5020	AT	peter.hugo@pimcore.com	\N	Söllheimerstraße, 16	5020	Salzburg	AT	Salzburg	92.96	Peter	Hugo	Hugo	Peter	\N	\N	\N
12077	ord_581732af3b679	71.82	1477915311	\N	committed	OnlineShop\\Framework\\CartManager\\SessionCart_sesscart_581732a55fd98	\N	EUR	\N	\N	Söllheimerstraße, 16	5020	AT	peter.hugo@pimcore.com	\N	Söllheimerstraße, 16	5020	Salzburg	AT	Salzburg	65.92	Peter	Hugo	Hugo	Peter	\N	\N	\N
12079	ord_581732ff9c008	94.49	1477915391	\N	committed	OnlineShop\\Framework\\CartManager\\SessionCart_sesscart_581732c30ebbf	\N	EUR	\N	\N	Söllheimerstraße, 16	5020	AT	peter.hugo@pimcore.com	\N	Söllheimerstraße, 16	5020	Salzburg	AT	Salzburg	88.59	Peter	Hugo	Hugo	Peter	\N	\N	\N
12081	ord_581746191b411	12.79	1477920281	\N	committed	OnlineShop\\Framework\\CartManager\\SessionCart_sesscart_5817460e8202d	\N	EUR	\N	\N	Söllheimerstraße, 16	5020	AT	peter.hugo@pimcore.com	\N	Söllheimerstraße, 16	5020	Salzburg	AT	Salzburg	12.79	Peter	Hugo	Hugo	Peter	\N	\N	\N
12085	ord_582d8ee5756e4	37.91	1479380709	\N	committed	OnlineShop\\Framework\\CartManager\\SessionCart_sesscart_582d8ed56d7f2	\N	EUR	\N	\N	Reininghausstraße 13a	8020	AT	peter.hugo@pimcore.com	\N	Reininghausstraße 13a	8020	Graz	AT	Graz	32.01	\N	Thomas Muster	Thomas Muster	\N	\N	\N	\N
12094	ord_583f25fe635bc	75.85	1480533502	\N	committed	OnlineShop\\Framework\\CartManager\\SessionCart_sesscart_583f25a752b48	\N	EUR	\N	\N	Söllheimerstraße, 16	5020	AT	peter.hugo@pimcore.com	\N	Söllheimerstraße, 16	5020	Salzburg	AT	Salzburg	69.95	Peter	Hugo	Hugo	Peter	\N	\N	\N
12101	ord_5847e8adbdaa7	12.79	1481107629	\N	committed	OnlineShop\\Framework\\CartManager\\SessionCart_sesscart_5847e8a5069cd	\N	EUR	\N	\N	Söllheimerstraße, 16	5020	AT	peter.hugo@pimcore.com	\N	Söllheimerstraße, 16	5020	Salzburg	AT	Salzburg	12.79	Peter	Hugo	Hugo	Peter	\N	\N	\N
12105	ord_585d8b378c570	815.9	1482525495	\N	committed	OnlineShop\\Framework\\CartManager\\SessionCart_sesscart_585d76f08a7be	\N	EUR	\N	\N	Söllheimerstraße, 16	5020	AT	peter.hugo@pimcore.com	\N	Söllheimerstraße, 16	5020	Salzburg	AT	Salzburg	900	Peter	Hugo	Hugo	Peter	720	652.72	a:2:{i:0;a:3:{i:0;s:4:"MwSt";i:1;s:3:"20%";i:2;d:130.54399999999998;}i:1;a:3:{i:0;s:4:"Tax2";i:1;s:2:"5%";i:2;d:32.635999999999996;}}
12110	ord_586a081e81b53	136.094	1483343902	\N	committed	OnlineShop\\Framework\\CartManager\\SessionCart_sesscart_586a07b529319	\N	EUR	\N	\N	Söllheimerstraße, 16	5020	AT	peter.hugo@pimcore.com	\N	Söllheimerstraße, 16	5020	Salzburg	AT	Salzburg	130.194	Peter	Hugo	Hugo	Peter	104.1552	108.8752	a:2:{i:0;a:3:{i:0;s:4:"MwSt";i:1;s:3:"20%";i:2;d:21.775039999999997;}i:1;a:3:{i:0;s:11:"Pimcore Tax";i:1;s:2:"5%";i:2;d:5.4437599999999993;}}
12113	ord_586a121e159af	85.73	1483346462	\N	committed	OnlineShop\\Framework\\CartManager\\SessionCart_sesscart_586a10570acff	\N	EUR	\N	\N	Söllheimerstraße, 16	5020	AT	peter.hugo@pimcore.com	\N	Söllheimerstraße, 16	5020	Salzburg	AT	Salzburg	79.83	Peter	Hugo	Hugo	Peter	63.864	68.584	a:2:{i:0;a:3:{i:0;s:4:"MwSt";i:1;s:3:"20%";i:2;d:13.716800000000001;}i:1;a:3:{i:0;s:11:"Pimcore Tax";i:1;s:2:"5%";i:2;d:3.4292000000000002;}}
12115	ord_586a125b8fe48	37.91	1483346523	\N	committed	OnlineShop\\Framework\\CartManager\\SessionCart_sesscart_586a12297293b	\N	EUR	\N	\N	Söllheimerstraße, 16	5020	AT	peter.hugo@pimcore.com	\N	Söllheimerstraße, 16	5020	Salzburg	AT	Salzburg	32.01	Peter	Hugo	Hugo	Peter	25.608	30.328	a:2:{i:0;a:3:{i:0;s:4:"MwSt";i:1;s:3:"20%";i:2;d:6.065599999999999;}i:1;a:3:{i:0;s:11:"Pimcore Tax";i:1;s:2:"5%";i:2;d:1.5163999999999997;}}
12117	ord_586a12c10af37	39.6	1483346625	\N	committed	OnlineShop\\Framework\\CartManager\\SessionCart_sesscart_586a12660cb20	\N	EUR	\N	\N	Söllheimerstraße, 16	5020	AT	peter.hugo@pimcore.com	\N	Söllheimerstraße, 16	5020	Salzburg	AT	Salzburg	33.7	Peter	Hugo	Hugo	Peter	26.96	31.68	a:2:{i:0;a:3:{i:0;s:4:"MwSt";i:1;s:3:"20%";i:2;d:6.3360000000000003;}i:1;a:3:{i:0;s:11:"Pimcore Tax";i:1;s:2:"5%";i:2;d:1.5840000000000001;}}
12119	ord_586a41f0bf902	51.85	1483358704	\N	committed	OnlineShop\\Framework\\CartManager\\SessionCart_sesscart_586a41eba8d44	\N	EUR	\N	\N	Reininghausstraße 13a	8020	AT	peter.hugo@pimcore.com	\N	Reininghausstraße 13a	8020	Graz	AT	Graz	45.95	\N	Thomas Muster	Thomas Muster	\N	36.76	41.48	a:2:{i:0;a:3:{i:0;s:4:"MwSt";i:1;s:3:"20%";i:2;d:8.2960000000000012;}i:1;a:3:{i:0;s:11:"Pimcore Tax";i:1;s:2:"5%";i:2;d:2.0740000000000003;}}
12124	ord_58e730f4376bc	83.84	1491546356	\N	committed	Pimcore\\Bundle\\EcommerceFrameworkBundle\\CartManager\\SessionCart_sesscart_58e730eaee2d7	\N	EUR	\N	\N	Söllheimerstraße, 16	5020	AT	peter.hugo@pimcore.com	\N	Söllheimerstraße, 16	5020	Salzburg	AT	Salzburg	77.94	Peter	Hugo	Hugo	Peter	62.352	67.072	a:2:{i:0;a:3:{i:0;s:8:"MwSt 20%";i:1;s:3:"20%";i:2;d:13.4144;}i:1;a:3:{i:0;s:11:"pimcore tax";i:1;s:2:"5%";i:2;d:3.3536;}}
12126	ord_58e75f75a9039	140.515	1491558261	\N	committed	Pimcore\\Bundle\\EcommerceFrameworkBundle\\CartManager\\SessionCart_sesscart_58e75e335682f	\N	EUR	\N	\N	Söllheimerstraße, 16	5020	AT	peter.hugo@pimcore.com	\N	Söllheimerstraße, 16	5020	Salzburg	AT	Salzburg	134.615	Peter	Hugo	Hugo	Peter	107.692	112.412	a:2:{i:0;a:3:{i:0;s:8:"MwSt 20%";i:1;s:3:"20%";i:2;d:22.4824;}i:1;a:3:{i:0;s:11:"pimcore tax";i:1;s:2:"5%";i:2;d:5.6206;}}
